USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
OH	39145004000	292147323	2754660	     112.799	       1.064	 38.7026815	 -83.1772709                                                                                                                     
OH	39147962500	285677368	49560	     110.301	       0.019	 41.1428235	 -82.9421734                                                                                                                       
OH	39147962600	219525392	1752544	      84.759	       0.677	 41.2208044	 -83.0629293                                                                                                                     
OH	39147962700	197842262	111850	      76.387	       0.043	 41.1991764	 -83.3063085                                                                                                                      
OH	39147962800	15736339	16548	       6.076	       0.006	 41.1792511	 -83.4000804                                                                                                                        
OH	39147962900	2361801	0	       0.912	       0.000	 41.1563409	 -83.4149821                                                                                                                             
OH	39147963000	17636192	0	       6.809	       0.000	 41.1396387	 -83.3908225                                                                                                                            
OH	39147963100	256617063	967743	      99.080	       0.374	 41.0473175	 -83.3090792                                                                                                                      
OH	39147963200	46672971	425203	      18.021	       0.164	 41.0828504	 -83.2287107                                                                                                                       
OH	39147963300	36883667	64025	      14.241	       0.025	 41.1441902	 -83.2227287                                                                                                                        
OH	39147963400	46082455	306315	      17.793	       0.118	 41.1457429	 -83.1362404                                                                                                                       
OH	39147963500	2397322	156026	       0.926	       0.060	 41.1221670	 -83.1677906                                                                                                                        
OH	39147963600	20148500	0	       7.779	       0.000	 41.0967291	 -83.1302957                                                                                                                            
OH	39147963700	50893115	475142	      19.650	       0.183	 41.0652438	 -83.1596306                                                                                                                       
OH	39147963800	228660958	268202	      88.286	       0.104	 41.0293456	 -82.9719888                                                                                                                      
OH	39149971400	196906156	357514	      76.026	       0.138	 40.4213383	 -84.0820436                                                                                                                      
OH	39149971500	143636479	230967	      55.458	       0.089	 40.4305909	 -84.2492981                                                                                                                      
OH	39149971600	141441188	3852292	      54.611	       1.487	 40.3477888	 -84.3516744                                                                                                                     
OH	39149971700	141517025	761576	      54.640	       0.294	 40.3393048	 -84.1939076                                                                                                                      
OH	39149971800	6090813	0	       2.352	       0.000	 40.3012598	 -84.1695701                                                                                                                             
OH	39149971900	14397197	138465	       5.559	       0.053	 40.2706767	 -84.1857641                                                                                                                       
OH	39149972000	1954812	50004	       0.755	       0.019	 40.2849947	 -84.1558812                                                                                                                         
